indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Datasetlink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,License,State (Owned),Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
 Click a district to understand factors contributing to flood risk.",181,Composite Flood Risk,,Score,MODEL,,,y,monthly,y,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Composite Flood Risk,Composite Flood Risk,Score,MODEL,,,,n,monthly,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,"30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/1e7a3edb-0614-486c-bab6-0fc29f0d4ce7,,monthly,y,max,GODL,,
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/28d9144f-e846-4017-86fc-7af83d078354,y,one-time,y,mean,,,30-May: Round off 2 decimal points
distance-from-river,Distance from the river,Average distance from river,27,Hazard,Hazard,km,WRIS,,https://civicdataspace.in/datasets/ebca0d4a-2df7-46ae-a315-640bce23968a,y,,y,,,,
distance-from-sea,Average Distance from the Sea,This is the average distance of the selected region from the sea,64,Hazard,Hazard,m,BharatMaps,,,y,one-time,y,mean,,,
mean-daily-runoff,Mean Runoff,This is the average surface runoff of water for a month.,56,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,y,mean,,,
sum-runoff,Total Runoff per month,This is the total surface runoff of water for a month.,54,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,y,sum,,,
peak-runoff,Highest Daily Runoff,This is the highest surface runoff of water within one day in the selected month.,81,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,n,max,,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/1e7a3edb-0614-486c-bab6-0fc29f0d4ce7,,monthly,y,mean,GODL,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/1e7a3edb-0614-486c-bab6-0fc29f0d4ce7,y,monthly,,sum,GODL,,30-May: Round off (no decimal)
mean-ndvi,Mean NDVI,Mean Normalised Difference Vegetation Index (NDVI) value for the region,71,Hazard,Hazard,Ratio,SENTINEL,,https://civicdataspace.in/datasets/3cc57bb1-7713-4538-935a-c69e06bf8bf5,,,,,Creative Commons CC BY-SA 3.0 IGO,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,,https://civicdataspace.in/datasets/4c852bf8-99d8-4254-b4b3-26b60e11304e,n,monthly,N,,GNU General Public License,,
inundation-intensity-mean,Sum of inundation intensities,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Ratio,BHUVAN,,https://civicdataspace.in/datasets/4c852bf8-99d8-4254-b4b3-26b60e11304e,,monthly,,,GNU General Public License,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Ratio,BHUVAN,,https://civicdataspace.in/datasets/4c852bf8-99d8-4254-b4b3-26b60e11304e,,monthly,n,mean,GNU General Public License,,
inundation-intensity-sum,Sum of inundation intensities,"This is the historical incidence of inundation in the selected area, based on satellite observation, aggregated over the month.",128,Hazard,Hazard,Ratio,BHUVAN,,https://civicdataspace.in/datasets/4c852bf8-99d8-4254-b4b3-26b60e11304e,n,monthly,n,sum,GNU General Public License,,"30-May: Percentage of Inundated Area, unit - %
 Upto 2 decimal points
 Work with data team for calculation"
slope-mean,Mean slope,Mean slope of the region,24,Hazard,Hazard,degrees,NASADEM,,https://civicdataspace.in/datasets/28d9144f-e846-4017-86fc-7af83d078354,y,one-time,n,,,,
drainage-density,Drainage density,Drainage density is a measurement of the sum of the channel lengths per unit area,81,Hazard,Hazard,km / sq.km,NASADEM,,https://civicdataspace.in/datasets/b8f28492-b865-46cd-82d6-b5a501179739,y,annually,n,mean,,,"30-May: Remove variable from platform (may be used for model, but not shown on platform)"
mean-ndbi,Mean NDBI,Mean Normalised Difference Building Index (NDBI) value for the region,69,Hazard,Hazard,Ratio,SENTINEL,,https://civicdataspace.in/datasets/85ed80f2-6315-412a-b7aa-3b8410f2027e,,,,,Creative Commons CC BY-SA 3.0 IGO,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/594e7709-6ec4-4362-bf8e-57b0fd13bdeb,y,annually,y,sum,GODL,,"30-May: no unit, round off (no decimals)"
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,,WORLDPOP,,https://civicdataspace.in/datasets/7343af3c-f892-4610-b528-2444857b2081,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,"30-May: Remove population (not necessary since households number takes care of it)
 Keep sex ratio: add a row for this - no unit, round off to 2 decimal points"
health-centres-count,Number of Health Centres,This is the number of health centres in the region,50,Exposure,Exposure,Number,BHARATMAPS,,https://civicdataspace.in/datasets/020e2dfa-8036-4533-8ac7-145b91ecee2d,,annually,y,sum,,,"30-May: no units, round off - no decimal point"
school-count,Number of Schools,This is the number of schools in the region,43,Exposure,Exposure,Number,BHARATMAPS,,https://civicdataspace.in/datasets/020e2dfa-8036-4533-8ac7-145b91ecee2d,,annually,y,sum,,,
rail-count,Length of Rail in the Region,This is the length of rail in the region,40,Exposure,Exposure,km,BHARATMAPS,,https://civicdataspace.in/datasets/020e2dfa-8036-4533-8ac7-145b91ecee2d,,annually,y,sum,,,
road-length,Length of Road,This is the length of road in the region,40,Exposure,Exposure,km,BHARATMAPS,,https://civicdataspace.in/datasets/020e2dfa-8036-4533-8ac7-145b91ecee2d,,annually,y,sum,,,
net-sown-area-in-hac,Net Sown Area,This is the total sown area in the region,41,Exposure,Exposure,hectares,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/594e7709-6ec4-4362-bf8e-57b0fd13bdeb,,annually,y,sum,GODL,,
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Exposure,Exposure,Ratio,WORLDPOP,,https://civicdataspace.in/datasets/7343af3c-f892-4610-b528-2444857b2081,,annually,y,mean,Creative Commons Attribution 4.0 International License,,
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Composite Flood Risk,Score,MODEL,,,y,,,,,,"30-May: Add ""Score"""
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/594e7709-6ec4-4362-bf8e-57b0fd13bdeb,y,annually,y,mean,GODL,,
block-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/594e7709-6ec4-4362-bf8e-57b0fd13bdeb,y,annually,y,mean,GODL,,
block-nosanitation-hhds-pct,Percentage of Households Without Sanitation Facilities,This is the percentage of households without sanitation facilities,66,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/594e7709-6ec4-4362-bf8e-57b0fd13bdeb,y,annually,y,mean,GODL,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/7343af3c-f892-4610-b528-2444857b2081,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/7343af3c-f892-4610-b528-2444857b2081,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,
total-no-of-death-of-humans-in-flood-and-cyclone,Human Lives Lost : Flood and Cyclone,This is the number of lives lost to floods and cyclones,,Vulnerability,Vulnerability,Number,OSDMA,,https://civicdataspace.in/datasets/a57b2567-444d-410d-9fb5-25e959915fef,y,annually,y,sum,,,
population-affected,Population Affected by Flood and Cyclone,This is the population affected by floods and cyclones,,Vulnerability,Vulnerability,Number,OSDMA,,https://civicdataspace.in/datasets/a57b2567-444d-410d-9fb5-25e959915fef,y,annually,y,max,,,
cultivated-area-affected-in-hectare,Cultivated Area Affected by Flood and Cyclone,This is the area under cultivation affected by floods and cyclones,,Vulnerability,Vulnerability,Number,OSDMA,,https://civicdataspace.in/datasets/a57b2567-444d-410d-9fb5-25e959915fef,y,annually,y,sum,,,
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/28d9144f-e846-4017-86fc-7af83d078354,n,monthly,n,mean,GODL,,
crop-loss-total-in-hact,,,,,,,,,https://civicdataspace.in/datasets/a57b2567-444d-410d-9fb5-25e959915fef,,,n,,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Composite Flood Risk,Score,MODEL,,,y,,,,,,"30-May: Add ""Score"""
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,y,monthly,y,sum,,,"30-May: Add Total Number of Flood Related Tenders above
 No unit"
sopd-tenders-awarded-value,Flood tenders Under SOPD Scheme : Total Value,SOPD Scheme is the State Owned Priority Development Scheme. This variable gives information of total value of tenders that were granted under SOPD Scheme,153,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,n,monthly,n,sum,,,
sdrf-tenders-awarded-value,Flood Tenders Under SDRF : Total value,This is the total value of tenders that are tagged under State Disaster Response Fund,85,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,n,monthly,n,sum,,,
ridf-tenders-awarded-value,Flood tenders Under RIDF Scheme : Total Value,RIDF is the Rural Infrastructure Development Fund maintained by NABARD. This variable gives information of total value of tenders that were granted under RIDF.,159,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,y,monthly,n,sum,,,
cidf-tenders-awarded-value,Flood tenders Under CIDF Scheme : Total Value,CIDF City Infra Development Fund is maintained by Assam Government for urban development. This variable gives information of total value of tenders that were granted under CIDF,176,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,n,monthly,n,sum,,,
ltif-tenders-awarded-value,Flood tenders Under Long-term Irrigation Fund : Total Value,0,,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,,,n,sum,,,
restoration-measures-tenders-awarded-value,Repairs and Restoration Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Repair Restoration Measures,90,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,y,monthly,n,sum,,,"30-May: Add ""Total Value of Flood Tenders for Preparedness"""
immediate-measures-tenders-awarded-value,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,72,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,y,monthly,n,sum,,,
others-tenders-awarded-value,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,104,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/d93c5e86-39f8-4d22-90a6-cec7c940c322,y,monthly,n,sum,,,
sdrf-sanctions-awarded-value,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value,This is the total value of SDRF funds sanctioned at the district level.,71,Government Response,Government Response,INR,,,,y,monthly,y,sum,,,
total-tender-awarded-value-fy-cumsum,Flood Tenders : Total Value ,This is the total value of flood related tenders,36,Government Response,Government Response,INR,,,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,y,y,sum,
sdrf-tenders-awarded-value-fy-cumsum,Flood Tenders Under SDRF : Total value,This is the total value of tenders that are tagged under State Disaster Response Fund,110,Government Response,Government Response,INR,,,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,y,y,sum,
restoration-measures-tenders-awarded-value-fy-cumsum,Repairs and Restoration Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Repair Restoration Measures,79,Government Response,Government Response,INR,,,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,
relief-and-mitigation-sanction-value-fy-cumsum,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,77,Government Response,Government Response,INR,,,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,
others-tenders-awarded-value-fy-cumsum,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,177,Government Response,Government Response,INR,,,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,
sdrf-sanctions-awarded-value-fy-cumsum,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value,This is the total value of SDRF funds sanctioned at the district level.,59,Government Response,Government Response,INR,SEC meeting minutes,,,,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,y,y,sum,