indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Dataset Link,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,adminLevel,cumulativeIndicator,License,License,State (Owned),Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
 Click a district to understand factors contributing to flood risk.",181,Overall Flood Risk,,Score,MODEL,,,y,,y,,,,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Overall Flood Risk,Overall Flood Risk,Score,MODEL,,n,n,monthly,y,,,,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,,monthly,y,max,,,GODL,GODL,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,,monthly,y,mean,,,GODL,GODL,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,y,monthly,,sum,,,GODL,GODL,,
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/42a03126-8f44-4962-948c-209c1a8ae459,y,one-time,,mean,,,,,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,n,monthly,,,,,GNU General Public License,GNU General Public License,,
inundation-intensity-mean,Sum of inundation intensities,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,n,monthly,n,,,,GNU General Public License,GNU General Public License,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,,monthly,y,mean,,,GNU General Public License,GNU General Public License,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,Number,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,sum,,,GODL,GODL,,
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,sum,,,Creative Commons Attribution 4.0 International License,Creative Commons Attribution 4.0 International License,,
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
health-centres-count,Number of Health Centres,This is the number of health centres in the region,50,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
sd-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
sd-nosanitation-hhds-pct,Percentage of Households Without Sanitation Facilities,This is the percentage of households without sanitation facilities,66,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,n,monthly,n,,,,GODL,GODL,,
schools-count,Number of Schools,This is the number of Schools in the region,43,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
rail-length,Length of Rail in the Region,This is the length of rail in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
road-length,Length of Road,This is the length of road in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Vulnerability,Vulnerability,Ratio,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,mean,Creative Commons Attribution 4.0 International License,,,,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,,,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,,,Creative Commons Attribution 4.0 International License,,,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/ded8759e-a5af-4a72-8dfa-bc49ee0e6242,y,monthly,y,sum,,total-tender-awarded-value-fy-cumsum,,,,
total-tender-awarded-value-fy-cumsum,Flood Tenders : Total Value ,Total value of flood related tenders,36,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
sdrf-tenders-awarded-value-fy-cumsum,Flood Tenders Under SDRF : Total value ,This is the total value of tenders that are tagged under State Disaster Response Fund,110,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
restoration-measures-tenders-awarded-value-fy-cumsum,Repairs and Restoration Flood Tenders : Total Value  ,This is the total value of all tenders that are tagged towards Repair Restoration Measures,79,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
relief-and-mitigation-sanction-value-fy-cumsum,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,77,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
others-tenders-awarded-value-fy-cumsum,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,177,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
sdrf-sanctions-awarded-value-fy-cumsum,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value ,This is the total value of SDRF funds sanctioned at the district level.,59,Government Response,Government Response,INR,SEC meeting minutes,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,d,n,sum,,,,,,