indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,License,cumulativeIndicator,State (Owned),Comments,isRasterAvailable,rasterPolarity
heat-risk-score,Overall Heat Risk,"Risk of disasters is a function of - hazard, vulnerability, exposure, and coping capacity (government response)",111,Overall Heat Risk,,Score,MODEL,,,y,,y,,,,,,,n,
heat-hazard,Hazard,Hazards or Potential of a physical event that may cause loss of life or property,80,Hazard,Overall Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
heat-days-score,Heat Index Threshold Breach Score,Function of number of times cum type of threshold breach of the local climatology of Heat Index,95,Hazard,Hazard,Number,ERA5_Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land?tab=overview,,y,monthly,,,sum,,,,,n,
land-surface-temperature-raster,Land Surface Temperature,1km resolution Land Surface Temperature,,Hazard,Hazard,Celcius,Modis Aqua,,,y,monthly,n,,mean,,,,,y,y
exposure,Exposure,"The situation of people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",134,Exposure,Overall Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
sum-population,Population,Total number of people residing in the region,45,Exposure,Exposure,Number,WORLDPOP,,,y,annually,y,y,sum,,,,,n,
vulnerability,Vulnerability,"Physical, Social, Economic, and Environmental vulnerabilities which increase susceptibility of an area or a community to impact of hazards",138,Vulnerability,Overall Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
health-centres-count,Number of Health Centres,Number of health centres in the region,38,Coping Capacity,Vulnerability,Number,BHARATMAPS,,,y,annually,y,y,sum,,,,,n,
avg-electricity,Average availablity of domestic electricity,Average availablity of domestic electricity,43,Coping Capacity,Vulnerability,hours,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
piped-hhds-pct,Percentage of households with piped water connection,Percentage of households with piped water connection,52,Coping Capacity,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
nosanitation-hhds-pct,Percentage of households without sanitation facilities,Percentage of households without sanitation facilities,54,Sensitivity,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
sum-aged-population,Elderly population,Number of people of ages greater than or equal to 65,52,Sensitivity,Vulnerability,Number,WORLDPOP,,,y,annually,y,y,sum,,,,,n,
sum-young-population,Children population,Number of people of ages less than or equal to 5,48,Sensitivity,Vulnerability,Number,WORLDPOP,,,y,annually,y,,sum,,,,,n,
workers-affected-pct,Worker percentage affected due to heat waves,Percentage of workers vulnerable to heat,,Sensitivity,Vulnerability,Ratio,PLFS,,,y,annually,y,,,,,,,n,
pct-ncd,Percentage of Population with NCDs,Percentage of Population with Non-communicable Diseases,,Sensitivity,Vulnerability,Ratio,NFHS-5,,,y,anually,y,,,,,,,n,
government-response,Government Response,"Government Response with respect to capacities or resources that can reduce the level of risk, or the effects of disasters",122,Government Response,Overall Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
total-tender-awarded-value,Total Heat Tenders Value ,Total value of heat related tenders,35,Government Response,Government Response,INR,,,,y,monthly,y,y,sum,,total-tender-awarded-value-fy-cumsum,,,n,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,total-tender-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,sopd-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,sdrf-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,restoration-measures-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,relief-and-mitigation-sanction-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,others-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,sdrf-sanctions-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,immediate-measures-tenders-awarded-value-fy-cumsum,,,,